WZ_CD,Emp_2011
E33000559,284
E33000560,351
E33000561,312
E33000562,1144
E33000565,257
E33000566,771
E33000567,235
E33001957,339
E33001958,581
E33001959,250
E33001960,430
E33001961,228
E33001962,312
E33001963,256
E33001964,254
E33001965,362
E33001966,378
E33001967,351
E33001968,398
E33001969,424
E33001970,354
E33001971,244
E33001972,378
E33001973,282
E33001974,301
E33001975,256
E33001976,338
E33001977,324
E33000570,512
E33000571,1526
E33000572,281
E33001978,613
E33001979,371
E33001980,593
E33001981,265
E33001982,366
E33001983,452
E33001984,528
E33001985,359
E33001986,563
E33001987,286
E33001988,301
E33001989,250
E33001990,306
E33001991,372
E33001992,567
E33001993,378
E33001994,253
E33001995,366
E33000580,378
E33000581,605
E33001996,348
E33001997,268
E33001998,523
E33001999,307
E33002000,347
E33002001,520
E33002002,405
E33002003,379
E33002004,471
E33000573,268
E33000574,446
E33000575,417
E33000576,248
E33000577,716
E33000578,325
E33000579,250
E33000582,290
E33000583,777
E33002005,702
E33002006,368
E33002007,699
E33002008,241
E33002009,566
E33002010,311
E33002011,1209
E33002012,413
E33002013,317
E33002014,582
E33000584,370
E33002015,432
E33002016,605
E33002017,442
E33002018,383
E33002019,398
E33002020,341
E33002021,335
E33002022,642
E33002023,369
E33002024,419
E33001416,351
E33001417,361
E33001418,483
E33000269,1587
E33001419,390
E33001420,798
E33001421,586
E33001422,344
E33001423,333
E33001424,553
E33001425,248
E33001426,441
E33001427,455
E33001428,419
E33000270,402
E33000271,1375
E33000272,1428
E33000273,402
E33001429,429
E33001430,453
E33001431,410
E33001432,322
E33001433,367
E33001434,339
E33001435,483
E33000279,222
E33000280,335
E33000281,330
E33000282,618
E33000283,237
E33000284,321
E33000285,519
E33000286,269
E33000287,310
E33000288,256
E33000289,253
E33000290,487
E33000291,360
E33000292,371
E33000293,358
E33000294,517
E33001436,262
E33001437,332
E33001438,718
E33001439,328
E33000657,453
E33000658,412
E33001440,295
E33001441,291
E33001442,325
E33001443,281
E33001444,441
E33001445,271
E33000274,672
E33000275,417
E33000276,446
E33001446,706
E33001447,348
E33001448,345
E33001449,176
E33000277,1078
E33000278,1283
E33001450,239
E33001451,420
E33001452,283
E33001453,269
E33001454,316
E33001455,365
E33001456,512
E33001457,294
E33002257,370
E33002258,334
E33002259,435
E33002260,354
E33002261,286
E33002262,318
E33000304,573
E33000305,751
E33000306,359
E33000307,463
E33000308,266
E33000309,239
E33000310,462
E33000311,385
E33000312,774
E33000313,228
E33000314,498
E33000315,394
E33000316,501
E33000722,250
E33000723,319
E33000724,229
E33000725,301
E33000726,200
E33000727,1229
E33000728,519
E33000729,253
E33000730,532
E33000731,429
E33000732,349
E33000733,490
E33000734,277
E33000735,728
E33000736,830
E33000737,324
E33000738,1164
E33000739,1133
E33000740,534
E33000741,202
E33000742,743
E33000743,203
E33000744,228
E33000745,390
E33000746,472
E33000747,288
E33000748,282
E33000749,520
E33000750,513
E33000751,415
E33001458,419
E33001459,455
E33001460,2369
E33001461,247
E33001462,310
E33001463,320
E33001464,457
E33001465,527
E33001466,590
E33001467,363
E33000301,319
E33000302,779
E33000303,406
E33001468,659
E33001469,621
E33001470,422
E33000298,214
E33000299,795
E33000300,573
E33001471,269
E33001472,312
E33001473,396
E33001474,274
E33001475,312
E33001476,275
E33001477,542
E33001478,328
E33001479,672
E33001480,318
E33001481,500
E33001482,295
E33001483,289
E33001484,247
E33001485,250
E33001486,277
E33001487,286
E33001488,607
E33001489,394
E33001490,276
E33001491,347
E33001492,324
E33001493,425
E33001494,330
E33001495,641
E33001496,661
E33001497,340
E33001498,421
E33001499,720
E33001500,360
E33001501,338
E33001502,394
E33001503,292
E33000295,7837
E33001504,590
E33001505,352
E33001506,402
E33001507,791
E33001508,308
E33001509,540
E33001510,335
E33001511,288
E33001512,407
E33001513,320
E33001514,328
E33001515,280
E33001516,386
E33001517,389
E33001518,306
E33001519,543
E33000296,1038
E33000297,255
E33001520,510
E33001521,269
E33001522,296
E33001523,530
E33001524,284
E33002236,386
E33002237,454
E33002238,336
E33002239,283
E33000585,364
E33002025,293
E33002026,365
E33002027,1321
E33002028,398
E33002029,272
E33000586,918
E33000587,415
E33000588,334
E33000589,234
E33000590,280
E33000591,270
E33002030,526
E33002031,332
E33002032,322
E33002033,312
E33002034,276
E33002035,402
E33002036,424
E33002037,240
E33002038,461
E33002039,252
E33002040,256
E33002041,229
E33002042,284
E33002043,468
E33002044,303
E33002045,229
E33002046,380
E33002047,263
E33002048,258
E33002049,365
E33002050,246
E33002051,410
E33000592,302
E33000593,280
E33000594,208
E33000595,417
E33000596,244
E33002052,435
E33002053,753
E33002054,421
E33002055,356
E33002056,264
E33002057,401
E33002058,545
E33002059,250
E33002060,514
E33002061,319
E33002062,279
E33002063,342
E33002064,283
E33002065,410
E33002066,372
E33002067,605
E33002068,331
E33002069,266
E33002070,233
E33002071,453
E33002072,332
E33002073,419
E33002074,361
E33002075,344
E33002076,316
E33000597,890
E33000614,652
E33000616,483
E33002077,300
E33002078,349
E33002079,295
E33000608,307
E33000609,211
E33000610,244
E33000611,213
E33000612,296
E33000613,519
E33000618,293
E33000619,266
E33000620,459
E33002080,417
E33002081,535
E33002082,386
E33002083,411
E33002084,428
E33002085,324
E33002086,246
E33002087,335
E33002088,317
E33002089,265
E33000615,643
E33002090,463
E33002091,496
E33002092,364
E33002093,312
E33002094,303
E33002095,361
E33000599,295
E33000600,551
E33000601,489
E33000602,1083
E33000603,416
E33000604,405
E33000605,1062
E33000606,822
E33000607,1317
E33002096,306
E33002097,514
E33002098,565
E33002099,1046
E33002100,307
E33002101,262
E33002102,412
E33002103,324
E33002104,542
E33002105,455
