WZ_CD,Emp_2011,Empl_SIC_A,Empl_SIC_B,Empl_SIC_C,Empl_SIC_D,Empl_SIC_E,Empl_SIC_F,Empl_SIC_G,Empl_SIC_H,Empl_SIC_I,Empl_SIC_J,Empl_SIC_K,Empl_SIC_L,Empl_SIC_M,Empl_SIC_N,Empl_SIC_O,Empl_SIC_P,Empl_SIC_Q,Empl_SIC_RS,Empl_SIC_T,Empl_SIC_U
E33028852,1987,0,3,6,1,0,6,29,3,41,49,1635,24,61,66,8,18,3,32,2,0
E33028853,768,0,0,3,0,0,3,6,22,28,11,628,1,18,18,8,1,8,5,0,8
E33028854,4098,1,0,30,0,3,67,41,66,43,3006,630,9,60,54,22,17,23,24,1,1
E33028855,381,0,0,1,0,0,6,25,10,24,5,194,2,39,8,1,61,2,3,0,0
E33028856,253,0,0,8,2,0,5,8,9,37,5,11,2,145,8,4,2,5,2,0,0
E33028857,1153,0,1,5,2,0,9,18,3,47,12,12,5,997,14,3,3,9,12,0,1
E33028858,875,0,1,7,1,0,3,38,11,9,481,86,4,83,65,6,41,3,35,1,0
E33028859,2061,0,0,5,0,0,8,18,8,44,43,169,13,1630,46,7,16,23,29,1,1
E33028860,347,0,0,7,0,0,17,6,5,12,37,29,9,164,22,5,2,16,16,0,0
E33028861,445,0,0,2,1,1,1,1,1,4,3,3,4,397,5,7,6,1,8,0,0
E33028862,227,0,0,0,1,0,0,1,0,1,1,1,0,210,2,4,2,3,1,0,0
E33028863,660,0,3,6,0,0,5,47,5,5,184,117,12,232,15,4,8,2,15,0,0
E33028864,2762,0,0,9,0,1,19,14,6,49,23,31,16,2231,318,8,9,10,18,0,0
E33028865,279,0,0,2,0,0,3,35,4,101,19,6,0,95,10,0,0,3,1,0,0
E33028866,160,0,0,0,0,0,2,13,0,9,11,12,2,94,4,5,0,0,8,0,0
E33028867,308,0,0,1,0,0,6,1,1,1,0,1,0,278,2,8,3,0,5,0,1
E33028868,341,0,0,2,0,0,9,11,5,8,21,9,50,155,30,9,4,4,23,0,1
E33028869,5326,1,0,26,1,6,56,54,15,101,43,4337,5,104,463,17,35,36,25,0,1
E33028870,281,0,0,0,1,0,0,1,0,2,1,3,2,222,9,36,2,1,1,0,0
E33028871,459,1,0,2,0,2,1,16,1,5,3,315,1,90,9,1,3,4,5,0,0
E33028872,951,0,0,3,1,0,2,10,0,15,8,49,1,107,15,665,7,30,37,0,1
E33028873,319,0,0,4,0,1,11,25,30,31,14,17,2,80,40,17,9,23,15,0,0
E33028874,217,1,0,1,0,0,3,23,0,31,3,36,6,42,38,11,1,10,11,0,0
E33028875,2019,1,0,12,0,3,10,14,4,21,29,1752,5,86,40,8,6,5,22,1,0
E33028876,383,1,0,5,0,0,9,25,8,30,50,23,17,107,88,0,2,10,8,0,0
E33028877,299,0,0,2,1,0,1,0,2,7,0,2,1,241,1,14,3,1,23,0,0
E33028878,522,0,0,6,0,0,4,8,2,29,25,70,0,207,25,82,3,17,31,0,13
E33028879,609,0,1,2,0,1,0,5,2,33,6,41,2,498,3,2,2,4,7,0,0
E33028880,523,0,0,3,0,0,7,7,6,17,24,33,6,275,26,81,6,16,16,0,0
E33028881,1517,0,0,277,0,0,14,49,207,28,163,31,3,670,34,5,8,13,13,1,1
E33028882,707,0,0,29,0,0,7,27,6,15,64,116,1,182,124,102,13,3,16,0,2
E33028883,379,1,0,11,0,0,7,43,3,8,127,13,7,128,7,3,7,6,8,0,0
E33028884,256,0,0,1,0,0,2,2,1,4,0,0,1,218,6,9,1,5,6,0,0
E33028885,1507,0,0,6,1,0,12,6,8,28,15,112,19,1206,58,7,6,11,12,0,0
E33028886,260,0,0,2,0,0,6,0,1,1,1,1,1,228,5,10,3,1,0,0,0
E33028887,285,0,0,1,0,0,1,0,1,35,4,1,2,180,6,9,14,2,29,0,0
E33028888,266,0,0,1,0,0,2,2,0,1,0,2,0,237,4,4,5,5,3,0,0
E33028889,380,1,0,6,1,0,4,3,1,8,106,18,11,186,18,8,3,2,4,0,0
E33028890,379,0,0,1,0,0,0,1,0,6,4,0,1,345,6,7,4,1,3,0,0
E33028891,456,0,1,3,0,0,0,5,2,5,4,2,2,406,11,2,5,3,5,0,0
E33028892,424,0,0,2,0,0,7,9,8,28,95,12,2,118,119,1,5,6,12,0,0
E33028893,2246,0,1,2,0,0,8,12,1,18,35,70,10,1961,30,33,10,24,29,1,1
E33028894,928,0,0,6,4,0,1,10,3,7,143,11,3,682,25,7,6,6,14,0,0
E33028895,222,0,0,2,0,0,0,1,0,9,2,9,0,158,11,9,4,3,14,0,0
E33028896,404,0,0,16,0,0,1,41,14,8,14,45,1,224,27,3,2,2,6,0,0
E33028897,469,1,0,2,0,1,16,8,1,141,27,3,5,230,27,1,0,0,6,0,0
E33028898,1694,0,0,4,1,0,9,14,4,31,94,34,14,1256,161,11,19,14,28,0,0
E33028899,532,0,1,3,0,0,6,13,0,13,22,43,7,159,165,14,5,38,42,0,1
E33028900,612,0,1,3,0,0,12,10,1,23,5,29,3,305,15,36,20,7,142,0,0
E33028901,1703,0,0,12,4,0,22,21,85,32,324,307,4,583,73,197,8,18,13,0,0
E33028902,450,0,0,9,0,0,17,34,3,18,36,13,5,233,57,2,6,2,11,0,4
E33028903,1991,2,0,7,0,1,15,17,3,17,6,157,8,1638,47,11,12,9,40,0,1
E33028904,1717,0,0,1,0,1,8,22,9,17,53,150,87,1225,98,9,4,12,21,0,0
E33028905,753,0,0,4,0,0,6,6,0,19,70,16,6,569,16,2,5,3,31,0,0
E33028906,211,0,0,2,0,0,51,4,2,2,18,2,0,54,6,3,1,37,29,0,0
E33028907,257,0,0,1,0,0,10,2,0,4,13,8,15,54,32,0,8,94,16,0,0
E33028908,2822,0,43,8,23,3,20,27,11,59,458,66,8,2009,29,13,15,7,21,0,2
E33028909,1384,0,0,68,0,1,14,16,8,15,17,32,10,883,271,10,8,18,13,0,0
E33028910,1871,0,0,9,0,0,34,25,7,27,43,30,6,127,56,31,57,1410,9,0,0
E33028911,4274,2,2,36,1,2,24,3632,13,64,84,61,9,176,67,13,42,23,22,0,1
E33028912,1416,0,1,9,1,0,24,53,7,39,49,157,76,722,165,9,13,55,36,0,0
E33028913,249,0,0,9,0,0,3,6,0,2,4,4,3,34,3,3,134,38,6,0,0
E33028914,5329,0,3,23,6,1,25,45,47,128,109,233,24,4397,111,35,22,19,100,0,1
E33028915,321,0,0,2,0,0,5,12,1,12,16,114,0,74,20,3,10,9,43,0,0
E33028916,369,0,0,12,0,0,6,13,0,46,9,154,1,86,8,1,2,19,12,0,0
E33028917,1091,0,0,7,0,0,9,104,10,3,576,38,6,266,17,5,7,2,41,0,0
E33028918,961,0,0,2,0,0,9,6,6,9,23,68,6,559,57,197,2,5,11,0,1
E33028919,207,0,0,4,0,0,16,7,0,15,0,3,14,66,5,3,7,43,24,0,0
E33028920,941,1,0,6,0,1,17,141,8,28,120,518,8,26,15,9,15,9,19,0,0
E33028921,391,0,0,1,0,0,1,24,6,21,9,4,6,289,6,3,1,7,13,0,0
E33028922,215,0,0,1,1,0,7,35,1,3,37,3,0,58,22,11,29,1,6,0,0
E33028923,853,2,0,7,1,0,3,11,0,12,32,10,2,39,17,23,629,36,29,0,0
E33028924,274,0,0,11,0,0,13,12,5,6,43,27,19,44,18,5,4,31,36,0,0
E33028925,228,0,0,5,0,0,4,1,0,39,65,4,1,47,2,1,0,16,43,0,0
E33028926,1183,0,0,11,0,0,19,453,10,121,127,6,10,286,63,28,12,22,15,0,0
E33028927,520,0,0,3,0,0,11,18,1,1,15,27,6,274,72,14,4,7,67,0,0
E33028928,208,0,0,3,0,0,1,3,0,0,24,6,0,144,3,10,2,2,10,0,0
E33028929,611,0,0,2,0,0,6,75,4,4,12,28,10,118,322,6,2,19,3,0,0
E33028930,1219,0,0,75,0,0,56,85,5,17,24,47,8,689,191,6,1,5,10,0,0
E33028931,387,0,0,0,0,0,2,10,1,2,9,3,2,331,14,1,2,2,8,0,0
E33028932,859,0,0,2,0,0,7,17,13,14,18,65,5,393,150,7,133,13,22,0,0
E33028933,457,0,0,1,0,0,2,28,2,20,58,12,3,134,108,10,8,29,41,0,1
E33028934,600,0,5,1,1,0,4,35,4,12,3,123,2,392,9,6,0,1,2,0,0
E33028935,977,0,0,8,2,0,8,20,4,8,49,22,4,614,187,13,24,6,8,0,0
E33028936,1113,0,0,3,2,4,145,14,5,6,44,145,34,480,88,110,10,15,8,0,0
E33028937,836,0,0,7,0,1,2,9,8,24,536,8,1,163,39,3,9,1,25,0,0
E33028938,237,1,0,1,0,0,0,3,1,11,7,16,1,14,44,49,52,22,12,0,3
E33028939,338,0,0,0,0,0,6,4,0,0,0,0,14,134,8,161,4,6,1,0,0
E33028940,938,0,0,13,4,6,36,85,34,52,35,29,6,39,37,143,245,156,18,0,0
E33028941,1400,0,0,10,0,1,290,21,6,24,285,492,15,153,59,6,18,3,17,0,0
E33028942,503,0,0,1,0,2,29,20,2,23,46,294,0,19,50,3,2,3,9,0,0
E33028943,2344,0,0,8,2,5,25,35,12,31,800,835,6,467,39,19,7,11,41,0,1
E33028944,909,0,0,9,0,0,55,83,51,18,68,355,5,191,39,24,2,2,7,0,0
E33028945,1469,1,0,6,1,2,50,57,23,28,99,694,6,270,95,29,14,43,49,0,2
E33028946,512,0,0,2,0,0,3,3,0,2,4,474,2,5,5,2,0,3,6,0,1
E33028947,539,0,0,1,0,0,17,2,128,28,109,98,10,104,19,7,10,3,3,0,0
E33028948,1192,0,0,0,2,1,6,14,19,20,11,897,5,171,15,7,1,5,18,0,0
E33028949,503,0,1,2,0,1,2,2,4,0,12,171,2,274,9,5,3,9,6,0,0
E33028950,249,0,0,3,0,0,12,4,2,41,7,16,2,20,0,3,130,2,6,0,1
E33028951,1171,0,0,4,0,1,4,16,174,8,22,815,8,74,10,23,6,2,4,0,0
E33028952,746,0,0,4,0,0,7,9,3,56,5,68,2,556,12,0,4,13,7,0,0
E33028953,1919,0,1,15,1,0,8,23,5,39,13,1733,1,34,13,9,4,9,9,0,2
E33028954,471,0,0,3,0,0,21,5,11,23,50,111,102,45,64,4,1,26,5,0,0
E33028955,273,1,0,12,1,0,14,77,15,59,7,15,7,10,20,3,3,15,14,0,0
E33028956,2521,0,0,15,3,1,81,10,16,15,80,1569,15,488,189,15,6,9,9,0,0
E33028957,666,0,0,6,0,1,17,16,12,37,71,344,8,84,27,8,9,11,15,0,0
E33028958,302,0,0,0,0,0,6,5,31,225,6,3,2,2,7,4,1,1,9,0,0
E33028959,1020,0,0,3,1,0,6,23,32,53,33,674,4,103,29,4,11,39,5,0,0
E33028960,1058,0,0,3,1,0,5,14,11,28,14,63,4,19,21,851,7,11,5,0,1
E33028961,279,0,0,0,0,0,0,1,2,6,1,256,0,6,4,0,2,0,0,0,1
E33028962,963,0,0,3,0,0,10,8,0,10,6,909,0,3,4,1,3,1,5,0,0
E33028963,856,0,1,2,0,1,24,15,10,21,41,411,1,72,223,5,2,16,11,0,0
E33028964,1578,1,0,17,1,3,49,229,95,121,201,184,5,64,71,27,424,51,33,2,0
E33028965,972,0,0,4,0,0,0,5,3,13,17,874,4,4,13,5,2,9,19,0,0
E33028966,779,0,1,4,0,0,1,40,8,18,27,453,7,197,12,3,3,2,2,0,1
E33028967,403,0,0,0,0,0,34,14,2,2,61,232,7,21,20,1,5,0,4,0,0
E33028968,1169,0,0,4,0,0,23,50,6,9,95,741,7,35,52,11,54,19,63,0,0
E33028969,679,1,0,2,0,0,7,32,41,60,9,54,1,428,27,1,2,4,10,0,0
E33028970,1104,0,0,4,1,2,11,14,2,14,15,993,0,9,12,12,3,4,8,0,0
E33028971,729,0,0,2,0,0,1,9,9,17,51,571,2,7,9,6,6,20,19,0,0
E33028972,1245,0,0,5,0,0,5,14,1,4,8,1159,12,14,12,1,2,3,4,0,1
E33028973,910,2,1,10,0,1,5,15,353,9,109,97,4,254,12,3,28,1,6,0,0
E33028974,1232,0,0,38,1,0,16,51,7,14,33,975,6,62,5,6,4,7,6,0,1
E33028975,1172,0,0,6,1,1,7,9,0,11,13,980,5,70,39,2,2,13,13,0,0
E33028976,350,0,0,4,0,0,1,30,11,21,19,132,0,10,15,105,1,1,0,0,0
E33028977,2455,4,1,13,0,1,25,46,39,86,260,1409,46,311,109,13,57,10,21,0,4
E33028978,529,0,0,1,0,0,13,14,18,34,4,325,2,94,19,2,0,1,1,0,1
E33028979,268,0,0,7,0,0,7,7,4,14,54,84,21,36,14,1,5,4,10,0,0
E33028980,672,0,0,4,1,1,8,4,4,6,40,548,3,22,10,2,4,3,12,0,0
E33028981,474,0,0,3,1,0,4,8,8,5,33,389,0,13,4,0,2,2,2,0,0
E33028982,1682,0,5,22,1,0,21,19,133,13,184,744,14,458,36,6,5,9,12,0,0
E33028983,1657,0,0,7,1,2,11,27,7,36,67,1354,4,83,26,5,3,8,15,1,0
E33028984,339,0,1,0,0,2,5,49,1,20,58,137,2,32,4,6,1,17,4,0,0
E33028985,255,0,0,3,0,0,8,24,8,1,22,68,2,24,35,6,47,3,4,0,0
E33028986,250,0,0,0,0,0,2,15,0,16,3,63,0,26,6,4,98,17,0,0,0
E33028987,723,0,0,3,0,0,7,19,4,6,25,590,0,6,52,1,2,1,7,0,0
E33028988,1025,0,0,12,0,0,5,11,1,13,34,34,1,771,59,7,27,13,37,0,0
E33028989,254,0,0,3,0,1,7,4,20,17,16,58,41,19,16,2,4,9,37,0,0
E33028990,395,0,0,1,0,0,3,0,6,21,26,207,2,53,46,5,11,4,9,0,1
E33028991,1508,0,0,4,0,0,13,18,5,15,490,189,6,687,49,5,8,10,9,0,0
E33028992,343,0,0,0,0,0,8,5,5,142,1,149,0,20,5,1,0,2,5,0,0
E33028993,483,0,0,3,0,0,3,13,0,22,3,223,0,203,8,1,2,2,0,0,0
E33028994,435,0,0,5,0,0,10,13,2,26,51,147,2,69,50,7,21,17,14,1,0
E33028995,370,1,4,1,0,1,15,4,9,0,4,236,1,64,21,3,1,0,5,0,0
E33028996,3918,0,0,18,1,2,35,42,74,70,25,3426,7,48,80,12,17,21,40,0,0
E33028997,1788,0,2,9,0,2,13,13,10,72,170,1321,7,62,61,7,3,4,32,0,0
E33028998,708,0,0,5,0,0,18,10,6,6,24,500,3,14,79,4,13,12,14,0,0
E33028999,1205,0,0,3,0,0,7,90,4,131,11,898,1,11,29,4,2,7,7,0,0
E33029000,432,0,0,2,0,1,1,10,22,40,82,117,4,66,69,2,4,12,0,0,0
E33029001,433,0,0,1,0,1,4,7,3,21,5,337,2,39,5,0,4,3,1,0,0
E33029002,1355,0,0,18,2,0,10,100,9,3,825,209,1,84,16,8,7,6,55,1,1
E33029003,1995,0,0,10,2,3,13,19,20,23,174,981,1,636,66,7,4,19,16,0,1
E33029004,2607,0,0,7,0,1,30,23,22,55,102,1718,5,501,37,27,25,5,48,0,1
E33029005,708,0,0,3,0,0,10,13,3,52,8,498,9,35,68,1,1,3,4,0,0
E33029006,626,0,0,3,0,0,8,5,3,19,16,502,14,25,20,1,2,4,4,0,0
E33029007,1112,2,0,5,2,0,15,15,2,26,45,749,34,79,23,84,8,11,11,1,0
E33029008,564,0,1,5,0,0,10,6,1,10,27,444,4,25,19,4,0,0,8,0,0
E33031477,738,0,0,10,2,0,3,57,1,43,106,292,10,89,88,5,5,12,15,0,0
E33031478,717,0,0,3,0,1,10,11,4,9,3,19,4,102,19,483,12,9,28,0,0
E33031479,356,0,0,12,0,1,36,28,10,21,20,51,5,30,26,21,18,14,63,0,0
E33031480,461,0,0,4,0,0,6,19,0,104,40,179,2,42,55,3,2,1,4,0,0
E33031481,1208,2,0,21,0,1,10,36,0,107,40,332,10,363,203,2,50,18,13,0,0
E33031482,1144,0,0,80,1,1,7,65,8,55,445,289,4,79,44,6,8,3,49,0,0
E33031483,515,0,0,4,0,0,5,8,4,45,20,330,0,69,16,1,0,0,13,0,0
E33031484,737,0,0,7,0,0,3,12,2,33,5,16,1,82,24,511,4,4,33,0,0
E33031485,1832,0,0,7,1,0,11,36,6,10,63,1513,3,57,67,9,32,8,9,0,0
E33031486,327,0,0,0,0,0,2,6,7,8,39,84,8,124,37,1,1,8,1,1,0
E33031487,1905,0,0,10,4,2,14,73,6,38,8,1658,5,49,14,8,5,2,9,0,0
E33031488,210,0,0,4,0,0,0,14,0,5,18,79,5,38,8,5,1,25,8,0,0
E33031489,295,0,0,2,0,0,0,41,2,40,3,10,0,1,0,3,181,1,11,0,0
E33031490,583,0,0,16,3,1,12,21,3,36,4,142,2,28,267,7,16,8,17,0,0
E33031491,459,0,0,2,1,0,2,5,3,3,157,233,0,30,7,5,3,2,6,0,0
E33031492,443,0,0,0,0,0,8,22,0,8,30,334,1,17,10,3,1,2,7,0,0
E33031493,541,0,0,9,0,0,8,24,8,32,14,239,2,87,71,2,17,9,18,0,1
E33031494,1695,0,0,1,0,1,13,11,5,20,43,1485,41,23,9,5,2,24,11,1,0
E33031495,746,0,0,4,2,0,6,11,2,3,19,570,0,35,57,1,5,15,16,0,0
E33031496,572,0,0,1,0,0,4,16,2,10,13,356,2,135,11,0,1,7,13,0,1
E33031497,1365,0,1,6,0,1,16,60,30,16,30,1058,3,30,38,9,32,1,31,2,1
E33031498,509,0,0,3,0,0,14,7,3,39,11,269,7,135,12,3,1,2,3,0,0
E33031499,383,0,0,4,0,0,2,49,71,84,86,15,1,31,9,2,5,6,17,0,1
E33031500,282,0,0,2,1,0,99,13,7,19,8,23,3,86,13,3,3,1,1,0,0
E33031501,2877,0,0,13,0,0,38,22,9,65,32,845,46,1706,54,10,11,14,12,0,0
E33031502,2236,0,0,20,2,2,88,55,50,24,97,1397,8,115,75,22,11,28,241,1,0
E33031503,2323,0,0,12,0,0,10,13,30,38,14,2105,1,17,26,18,6,17,15,0,1
E33031504,639,0,0,10,1,0,2,86,7,30,74,250,4,97,36,5,5,5,27,0,0
E33031505,1332,0,0,26,2,2,38,43,26,140,60,54,39,98,118,294,101,238,52,0,1
E33031506,930,0,0,10,0,0,80,34,9,29,95,303,4,207,27,4,5,11,110,0,2
E33031507,1504,0,0,1,1,0,18,33,18,25,18,1251,5,31,29,21,9,7,16,4,17
E33031508,2636,1,0,5,0,0,12,24,3,71,33,2335,5,27,59,6,7,21,22,4,1
E33031509,3387,0,2,23,1,0,16,102,7,26,70,1105,19,1899,58,15,10,14,19,0,1
E33031510,479,0,0,4,0,0,3,15,3,11,114,137,5,38,113,1,4,13,18,0,0
E33031511,1068,0,0,11,0,1,6,15,4,5,47,867,11,48,31,4,2,2,14,0,0
E33031512,1488,0,3,9,1,0,39,40,8,67,45,1026,55,62,63,12,9,35,14,0,0
E33031513,281,0,1,3,0,0,1,2,0,2,16,174,0,11,7,0,1,9,54,0,0
E33031514,736,0,1,1,2,0,6,70,4,22,73,257,3,239,35,5,4,8,6,0,0
E33031515,934,0,0,2,2,1,7,157,3,18,15,693,0,6,15,2,5,2,6,0,0
E33031516,352,3,0,5,0,0,1,18,1,5,29,183,2,65,17,3,1,16,3,0,0
E33031517,2340,0,2,10,2,1,20,55,10,35,115,1823,21,123,30,17,53,5,15,0,3
E33031518,643,0,0,6,1,0,3,13,4,24,22,439,0,59,42,1,8,13,8,0,0
E33031519,777,0,0,4,1,0,0,23,2,11,14,639,0,41,16,4,0,1,21,0,0
E33031520,1625,0,0,11,1,0,37,28,21,80,162,779,29,217,166,7,49,10,28,0,0
E33031521,5173,1,2,11,2,0,15,57,18,70,1157,2319,25,1390,47,15,10,15,18,1,0
E33031522,1155,1,0,8,0,1,15,48,5,49,19,211,13,646,81,5,11,7,35,0,0
E33031523,346,0,0,0,0,0,2,34,0,2,69,127,4,61,39,2,0,3,3,0,0
E33031524,1030,0,0,7,2,0,38,54,5,25,153,260,33,121,219,3,19,84,7,0,0
E33031525,711,0,0,2,0,0,5,17,2,20,25,318,2,164,24,11,8,5,107,0,1
E33031526,914,0,0,5,0,1,10,29,3,14,121,253,79,242,137,6,2,4,8,0,0
E33031527,1113,0,0,6,1,1,24,62,21,29,171,438,16,42,247,2,20,13,20,0,0
E33031528,886,0,0,5,0,0,19,243,238,193,12,34,2,18,31,13,5,3,70,0,0
E33031529,709,0,0,5,0,1,8,9,102,19,8,342,6,100,92,2,8,6,1,0,0
E33031530,1028,0,0,5,0,0,6,22,7,26,11,836,1,23,26,6,11,6,41,0,1
E33031531,400,0,2,5,2,0,28,5,0,2,27,148,7,44,77,1,1,43,8,0,0
E33031532,3458,0,1,11,0,0,36,22,7,70,45,3069,3,43,43,62,12,12,22,0,0
E33031533,292,0,0,2,0,0,1,5,3,32,3,165,1,4,9,60,0,5,1,1,0
E33031534,1171,0,0,12,1,0,5,8,2,56,14,1008,2,27,13,6,4,3,9,0,1
E33031535,1227,1,1,7,0,1,8,31,1,53,9,351,9,609,63,2,4,34,42,1,0
E33031536,1243,1,0,5,0,0,15,9,4,14,56,1064,4,22,23,7,4,2,13,0,0
E33031537,696,0,0,7,0,1,4,29,81,37,188,141,7,156,22,4,9,4,6,0,0
E33031538,1598,4,0,10,4,1,60,38,5,28,41,1127,10,88,151,7,7,5,12,0,0
E33031539,228,0,0,1,0,0,3,1,0,33,3,91,6,55,11,21,0,1,1,0,1
E33031540,1310,0,1,2,1,0,22,9,4,18,41,637,4,512,36,2,8,7,5,0,1
E33031541,268,0,0,12,0,0,2,1,0,3,23,77,2,32,28,0,4,12,72,0,0
E33031542,190,0,0,5,0,2,27,8,16,25,3,23,8,16,38,5,3,4,7,0,0
E33031543,2425,1,0,18,7,6,24,129,127,20,109,1746,3,91,80,13,13,18,19,0,1
E33031544,418,0,0,6,0,47,10,8,9,37,31,25,0,49,85,82,5,7,17,0,0
E33031545,435,0,0,1,0,0,7,4,0,32,7,342,6,20,10,1,1,1,3,0,0
E33031546,369,0,0,4,0,0,5,137,12,25,13,57,10,26,38,3,2,17,20,0,0
E33031547,816,0,0,37,50,1,22,54,12,9,34,51,25,401,78,2,6,15,19,0,0
E33031548,201,0,0,3,0,0,7,9,8,16,3,24,3,88,5,1,5,29,0,0,0
E33031549,4318,1,0,13,0,0,50,64,13,70,117,3798,6,66,45,8,17,18,30,0,2
E33031550,2980,0,1,16,2,1,86,37,4,45,78,2385,57,114,84,15,19,16,18,0,2
E33031551,663,0,0,3,0,0,23,21,2,40,53,98,1,46,42,298,2,10,24,0,0
E33031552,581,0,0,0,1,0,36,1,1,32,4,374,7,96,13,5,3,5,2,0,1
E33031553,1146,0,0,9,0,0,7,22,7,5,133,691,23,111,103,7,4,14,10,0,0
E33031554,468,1,1,0,0,0,1,14,1,5,22,54,7,100,245,0,2,12,3,0,0
E33031555,642,3,0,9,3,1,43,9,3,5,102,166,20,82,161,8,6,3,18,0,0
E33031556,570,0,0,5,3,0,2,25,3,109,49,206,4,79,46,6,7,15,11,0,0
E33031557,2542,0,2,10,0,0,38,19,4,61,17,1590,15,694,55,9,10,6,11,0,1
E33031558,300,0,0,1,0,0,6,6,7,18,35,146,1,46,24,1,3,2,4,0,0
E33031559,3301,1,0,10,54,2,69,94,46,71,326,1404,454,494,168,11,31,32,29,1,4
E33031560,290,0,0,4,0,0,2,105,1,63,10,47,0,22,23,1,1,6,5,0,0
E33031561,474,0,0,7,0,0,5,55,7,349,7,6,2,4,8,5,5,7,7,0,0
E33031562,643,1,0,31,0,0,3,17,4,27,161,174,19,93,54,6,18,22,13,0,0
E33031563,229,0,0,1,1,0,11,2,3,3,38,57,7,33,57,1,10,3,2,0,0
E33031564,6636,1,1,25,3,0,59,79,19,74,68,5998,36,121,80,18,16,17,20,1,0
E33031565,493,0,0,7,0,0,19,12,8,25,5,268,28,30,20,6,5,17,43,0,0
E33031566,672,0,0,3,0,3,6,53,3,32,24,400,3,105,21,2,0,3,14,0,0
E33031567,734,0,0,3,1,1,9,7,2,1,3,677,2,8,8,5,4,2,1,0,0
E33031568,991,0,1,7,1,0,23,12,17,15,110,154,184,267,95,10,25,51,18,1,0
E33031569,1322,0,0,20,0,1,26,47,43,61,70,397,28,481,68,12,11,5,48,0,4
E33031570,230,0,0,1,0,0,17,11,1,43,6,108,2,9,23,3,1,1,3,1,0
E33031571,1374,0,0,11,0,0,6,10,5,9,71,1176,3,40,16,8,7,5,4,1,2
E33031572,4921,0,0,21,2,1,24,48,13,33,38,4525,9,56,86,11,13,23,16,0,2
E33031573,664,1,5,3,2,0,8,64,96,2,14,413,0,23,12,2,7,3,8,0,1
E33031574,726,0,0,7,0,0,9,278,14,15,69,90,15,155,34,4,5,18,12,0,1
E33031575,504,0,0,5,0,0,12,11,8,17,29,217,2,123,66,3,3,5,3,0,0
E33031576,482,0,0,3,0,1,2,22,21,33,103,216,1,14,33,3,15,5,10,0,0
E33031577,452,0,0,1,0,0,0,2,2,3,47,179,4,62,30,3,1,1,116,1,0
E33031578,506,0,0,1,0,0,2,4,6,0,72,261,2,81,52,0,6,3,16,0,0
E33031579,1667,1,1,2,1,2,19,16,0,21,11,152,6,1349,23,8,3,5,47,0,0
E33031580,392,0,0,2,0,0,9,16,26,29,16,130,17,28,93,2,1,23,0,0,0
E33031581,1134,0,0,0,0,0,21,20,2,34,18,669,27,260,24,12,5,21,21,0,0
E33031582,451,0,15,1,1,0,7,8,12,54,57,72,0,194,9,4,3,4,10,0,0
E33031583,1490,0,0,3,0,1,17,23,5,64,27,765,1,504,41,0,21,9,9,0,0
E33031584,1084,3,0,12,0,1,6,37,11,35,372,423,11,126,29,6,3,3,5,1,0
E33031585,207,0,0,5,0,0,0,19,1,8,39,99,0,24,2,0,2,2,6,0,0
E33031586,412,0,0,5,0,0,1,34,23,18,3,187,29,19,82,2,1,1,7,0,0
E33031587,1040,1,0,5,6,0,5,4,5,30,16,504,13,409,14,14,4,3,7,0,0
E33031588,1309,0,1,5,1,0,24,2,4,14,22,1099,7,33,27,3,7,9,51,0,0
E33031589,406,2,1,4,1,1,39,27,9,20,5,98,22,124,18,4,24,4,3,0,0
E33031590,327,0,0,3,0,0,3,1,1,5,3,301,0,2,1,1,2,1,2,0,1
E33031591,1147,0,0,5,1,1,21,158,10,52,169,458,27,70,131,8,7,13,16,0,0
E33031592,2162,0,1,10,1,0,69,31,10,35,61,40,8,1595,136,10,65,12,78,0,0
E33031593,206,1,0,3,0,0,4,18,25,3,7,2,3,7,3,19,2,12,97,0,0
E33031594,394,0,0,3,1,0,10,15,14,13,29,132,1,46,27,10,36,3,53,0,1
E33031595,1538,0,0,1,0,0,2,20,3,11,31,1167,3,19,133,5,7,24,111,0,1
E33031596,960,0,7,5,1,1,15,24,12,48,63,171,9,131,406,12,8,21,26,0,0
E33031597,1058,0,0,10,0,0,6,10,5,13,154,558,3,147,99,11,8,7,26,0,1
E33031598,347,0,2,8,1,0,9,39,2,16,31,25,18,103,61,0,3,6,22,1,0
E33031599,410,0,0,5,0,0,9,20,4,34,56,123,4,53,53,1,4,14,30,0,0
E33031600,260,0,0,1,0,0,1,26,2,24,43,97,4,13,35,4,1,1,8,0,0
E33031601,358,0,0,2,0,0,6,44,1,5,12,163,17,66,25,2,1,3,11,0,0
E33031602,474,1,0,4,0,0,8,1,0,2,22,372,0,46,11,3,3,0,1,0,0
E33031603,1316,0,0,6,1,0,15,55,2,90,52,981,18,32,21,1,7,6,28,0,1
E33031604,421,0,0,24,0,0,4,14,1,45,59,114,2,53,65,8,6,12,14,0,0
E33031605,357,1,0,7,0,0,2,7,8,1,15,89,0,22,102,9,43,32,19,0,0
E33031606,682,0,0,4,10,0,10,8,4,35,138,194,17,125,116,4,5,6,5,0,1
E33031607,249,0,1,2,0,0,8,6,2,1,34,51,3,38,18,39,33,3,9,0,1
E33031608,1158,1,1,18,2,0,15,19,3,19,95,903,2,39,24,6,0,4,6,1,0
